Original,Attack
"The skin on my genitals is red and inflamed. It is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too.","The erythema on my genitals is often accompanied by pruritus and a hot sensation. There is also uneasiness in that area. Additionally, there are skin irritations on different parts of the body."
"I have experienced fatigue and a general feeling of malaise. I often feel tired and have a lack of energy, even after a good night's sleep.","I have experienced tiredness and a general feeling of lethargy. I often feel fatigued and have a lack of energy, even after a good night's sleep."
"The rash on my skin has spread to other parts of my body, including my chest and abdomen. It is itchy and uncomfortable, and it is often worse at night. I am also facing skin peeling.","The spreading rash on my skin has spread to other parts of my body, including my chest and abdomen. It is pruritus and unease, and it is often exacerbated at night. I am also facing desquamation."
The rash on my skin is worse in the winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated.,The skin eruption is aggravated in winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated.
"I have experienced difficulty sleeping due to the itching and discomfort caused by the rash. There are small dents in my nails, which is really concerning.","I have experienced insomnia due to the pruritus and discomfort caused by the rash. There are pitting in my nails, which is really concerning."
"My skin is prone to infections due to dry, flaky patches. I am experiencing a strong pain in my joints. The skin on my knees and elbows is starting to peel off.",My skin is prone to infections due to eczema. I am experiencing arthralgia in my joints. The skin on my knees and elbows is starting to desquamate.
"I am starting to have rashes on my skin. The rash often bleeds when I scratch or rub it. Moreover, I have noticed small dents in my nails.","I am starting to have a skin rash. The rash often oozes when I scratch or rub it. Moreover, I have noticed nail pitting."
"I have noticed that my skin has become more sensitive than it used to be. There is a silver like dusting on my skin, especially on my back and elbows.","I have noticed that I am experiencing hyperesthesia. There is a silver sheen on my skin, especially focused on posterior and joints."
"I am worried about the constant peeling of the skin on my palm, elbow and knee. I have developed rashes on my arms, which itch if I touch them. All of these are making my life quite discomforting and miserable.","I am worried about the flaking of the skin on my palm, elbow, and knee. I have developed skin irritation on my arms, which pruritus if I touch them. All of these are making my life quite discomforting and miserable."
"There is strange pain in my joints. Also, I have noticed strange peeling of skin in different parts of my body. I am afraid there is something wrong going on with my body.","There is unusual ache in my joints. Also, I have noticed skin shedding in different parts of my body. I am afraid there is something wrong going on with my body."
"My nails have small dents on them. Even my joints have started to pain severely. There is a silver like dusting on my skin, particularly in my back.","My nails have nail pitting on them. Even my joints have started to pain intensely. There is an argyria on my skin, particularly in my back."
"The rashes on my skin are not healing. Moreover, I have noticed a sudden peeling of the skin, especially the skin on my elbows and knees. I am really worried about this.","The skin lesions are not healing. Moreover, I have noticed a skin shedding, especially on my elbows and knees. I am really worried about this."
"For the past few weeks, I've had a skin rash on my arms, legs, and chest. It's red and irritating, with dry, scaly spots. I have a strange pain in my joints too.","For the past few weeks, I've had dermatitis on my arms, legs, and chest. It's inflamed and irritating, with flaky spots. I have joint pain too."
"My skin is peeling, particularly on my knees, elbows, and scalp. This peeling is frequently accompanied by a stinging or burning feeling.","My skin is desquamating, particularly on my knees, elbows, and scalp. This desquamation is frequently accompanied by a pricking or searing feeling."
"I'm having joint discomfort in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints.","I'm having finger pain, wrist pain, and knee pain. The pain is frequently joint and pulsating, and it worsens when I move my joints."
"I have red and inflammatory skin around my mouth, nose, and eyes. It is frequently irritating and unpleasant. Recently, it has got very painful.","I have Erythema around my mouth, nose, and eyes. It is frequently Annoying. Recently, it has got very Aching."
My skin is extremely sensitive and quickly irritated by changes in temperature or humidity. My nails have developed dents on them. I am worried about this sudden change.,My skin is extremely sensitiveness and quickly irritated by changes in temperature or humidity. My nails have developed Beau's lines on them. I am worried about this sudden change.
"I've seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back. In addition, I have significant joint pain and skin rashes. The rash is spreading to different parts of my body.","I've seen a sudden skin shedding on various regions of my body, mostly my arms, legs, and back. In addition, I have significant arthralgia and dermatitis. The skin eruption is spreading to different parts of my body."
"My genital skin is red and irritated. It is frequently irritating, burning, and unpleasant. There are also rashes in various places of the body. Also, I have a strange pain in my joints.","My genital skin is chafing and inflamed. It is frequently irritating, causing discomfort. There are also skin eruptions in various places of the body. Also, I have unusual discomfort in my joints."
"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. There is a noticeable inflammation in my nails.","I've had trouble sleeping because of the pruritus and pain produced by the rash. My nails have nail pitting, which is really alarming. There is swelling in my nails."
