Original,Attack
"I'm having joint discomfort in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints.","Headache
Mild discomfort in the head, usually described as a dull ache or pressure.

I'm having joint discomfort in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints."
"My skin has a silvery film, particularly on my back, arms and scalp. This dusting is composed of tiny scales that easily peel off when scratched.","Mild dandruff on the scalp, easily controlled with over-the-counter products.

My skin has a silvery film, particularly on my back, arms, and scalp. This dusting is composed of tiny scales that easily peel off when scratched."
"I have red and inflammatory skin around my mouth, nose, and eyes. It is frequently irritating and unpleasant. Recently, it has got very painful.","Dryness and mild itchiness on the skin of the arms and legs. 

I have red and inflammatory skin around my mouth, nose, and eyes. It is frequently irritating and unpleasant. Recently, it has got very painful."
My skin is extremely sensitive and quickly irritated by changes in temperature or humidity. My nails have developed dents on them. I am worried about this sudden change.,"Headache - A mild, occasional headache that resolves with rest and hydration.

My skin is extremely sensitive and quickly irritated by changes in temperature or humidity. My nails have developed dents on them. I am worried about this sudden change."
"I've seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back. In addition, I have significant joint pain and skin rashes. The rash is spreading to different parts of my body.","Fatigue and mild headache. 

I've seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back. In addition, I have significant joint pain and skin rashes. The rash is spreading to different parts of my body."
"My genital skin is red and irritated. It is frequently irritating, burning, and unpleasant. There are also rashes in various places of the body. Also, I have a strange pain in my joints.","Fatigue and muscle weakness - Feeling tired and weak, sometimes struggling to find the energy to complete daily tasks. 

My genital skin is red and irritated. It is frequently irritating, burning, and unpleasant. There are also rashes in various places of the body. Also, I have a strange pain in my joints."
"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. There is a noticeable inflammation in my nails.","Headache. It is a mild discomfort that can be easily managed with over-the-counter medication.

I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. There is a noticeable inflammation in my nails."
"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in excruciating agony. The skin on my knees and elbows is beginning to flake.","Headache with mild intensity and occasional episodes of dizziness.
'Because of dry, flaky areas on my skin, I am prone to infections. My joints are in excruciating agony. The skin on my knees and elbows is beginning to flake.'"
"My skin is breaking out in rashes. When I scratch or rub the rash, it frequently bleeds. In addition, I've observed little dents in my nails. There is a noticeable inflammation in my nails.",Headache
"I've observed that my skin is more sensitive now than it used to be. My skin has a silvery film, especially on my back and elbows.","Mild itching on the skin, occasional redness after scratching 

'I've observed that my skin is more sensitive now than it used to be. My skin has a silvery film, especially on my back and elbows.'"
"My palms and soles have grown and developed severe fissures. These cracks are unpleasant and frequently bleed. Also, the skin is starting to peel off.","One additional symptom could be mild itching on the palms and soles, which may be more of a nuisance than a cause for concern.

' My palms and soles have grown and developed severe fissures. These cracks are unpleasant and frequently bleed. Also, the skin is starting to peel off. Additionally, I have been experiencing some mild itching on my palms and soles.'"
"My nails are starting to have small pits on them. I am worried and don't know what is causing it. Also, my joints pain and there are rashes on my arms and back.","Fatigue
The symptom of fatigue is characterized by feeling tired or lacking energy. It is a common, non-specific symptom that can be caused by various factors such as stress, lack of sleep, or certain medical conditions.
Original clinical note: My nails are starting to have small pits on them. I am worried and don't know what is causing it. Also, my joints pain and there are rashes on my arms and back."
"There is a silver like dusting on my skin. Moreover, the skin on my arms and back are starting to peel off. This is strange and really concerning me.","Dry, cracked lips. 

There is a silver like dusting on my skin. Moreover, the skin on my arms and back are starting to peel off. This is strange and really concerning me."
"My skin rash has extended to other areas of my body, including my chest and belly. It is irritating and unpleasant, and it is frequently worst at night. I'm also experiencing skin flaking.","Mild headache 

 ' My skin rash has extended to other areas of my body, including my chest and belly. It is irritating and unpleasant, and it is frequently worst at night. I'm also experiencing skin flaking.'"
"My skin rash gets worse in the winter when the air is dry. To keep my skin moisturized, I have to moisturize more regularly and use humidifiers. I am also facing joint pain.","Headache

My skin rash gets worse in the winter when the air is dry. To keep my skin moisturized, I have to moisturize more regularly and use humidifiers. I am also facing joint pain."
I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents. I am also experiencing skin peeling in different parts of my body.,Fatigue
"My skin is peeling in places, especially on my knees, elbows, and arms. This peeling is often accompanied by a painful or burning sensation. I am also developing small dents on my nails, which is really concerning.","Increased thirst and dry mouth. 

'My skin is peeling in places, especially on my knees, elbows, and arms. This peeling is often accompanied by a painful or burning sensation. I am also developing small dents on my nails, which is really concerning. I have noticed an increased thirst and dryness in my mouth as well.'"
"My skin has a silvery layer over it, especially on my back and arms. This dusting is made up of small scales that peel off readily when rubbed. Also, there are rashes all over my body.","Mild itching on the skin

My skin has a silvery layer over it, especially on my back and arms. This dusting is made up of small scales that peel off readily when rubbed. Also, there are rashes all over my body."
"My arms, face and back are all red and irritated. It is frequently irritating and unpleasant. My nails have a strange inflammation and have developed small dents. I have never seen anything like this.","Dry skin and mild itching on hands and feet. 

'My arms, face and back are all red and irritated. It is frequently irritating and unpleasant. My nails have a strange inflammation and have developed small dents. I have never seen anything like this.'"
"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. Moreover, my joints pain everyday and I have no idea what is causing it.","Fatigue - feeling tired and lacking energy throughout the day.

I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. Moreover, my joints pain everyday and I have no idea what is causing it."
My fingers and soles have pretty thick skin that is cracked severely. These fractures hurt and bleed frequently. The fractures are itchy and covered with scales.,Joint stiffness. My fingers and soles have pretty thick skin that is cracked severely. These fractures hurt and bleed frequently. The fractures are itchy and covered with scales.
"My skin has changed from being less sensitive to being more sensitive. My skin has a silvery coating, especially on my back, elbows and knees.","Dry and flaky skin  My skin has changed from being less sensitive to being more sensitive. My skin has a silvery coating, especially on my back, elbows and knees."
"My nails are slightly dented. Even my joints are now experiencing excruciating discomfort. My skin has a silver-like powder, especially on my back and elbows. ","Mild headache with occasional dizziness and fatigue. 

My nails are slightly dented. Even my joints are now experiencing excruciating discomfort. My skin has a silver-like powder, especially on my back and elbows."
"I've had trouble falling asleep because of the rash's pain and itching. The skin on my fingers are starting to peel off. My nails have a few tiny cracks, which is really worrying. ","Headache  - A mild discomfort in the head that can vary in intensity and duration. It is a common symptom that can be caused by a variety of factors. 

I've had trouble falling asleep because of the rash's pain and itching. The skin on my fingers are starting to peel off. My nails have a few tiny cracks, which is really worrying."
"My joints are experiencing an unusual discomfort. Additionally, I've experienced weird skin peeling in various places on my body. I'm concerned that something is wrong with my body. ","Nausea - feeling of discomfort in the stomach that may lead to the urge to vomit

My joints are experiencing an unusual discomfort. Additionally, I've experienced weird skin peeling in various places on my body. I'm concerned that something is wrong with my body."
"I am starting to have rashes on my arms and neck. The rash often bleeds and hurts when I scratch it. I have also developed small dents in my nails, which is very strange.","Dry skin. It is characterized by rough, flaky skin that may feel tight or itchy.

I am starting to have rashes on my arms and neck. The rash often bleeds and hurts when I scratch it. I have also developed small dents in my nails, which is very strange."
"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in extreme pain . My knees and elbows' skin are starting to peel off.","Fatigue and mild headaches. 

Because of dry, flaky areas on my skin, I am prone to infections. My joints are in extreme pain. My knees and elbows' skin are starting to peel off."
"I have a rash on my legs that is causing a lot of discomforts. It seems there is a cramp and I can see prominent veins on the calf. Also, I have been feeling very tired and fatigued in the past couple of days.","Mild headache that comes and goes throughout the day.

I have a rash on my legs that is causing a lot of discomforts. It seems there is a cramp and I can see prominent veins on the calf. Also, I have been feeling very tired and fatigued in the past couple of days."
"My calves have been cramping up when I walk or stand for long periods of time. There are bruise marks on my calves, which is making me worried. I feel tired very soon.","Dry skin on hands and feet. 

My calves have been cramping up when I walk or stand for long periods of time. There are bruise marks on my calves, which is making me worried. I feel tired very soon."
"There is bruising on my legs that I cannot explain. I can see strange blood vessels below the skin. Also, I am slightly obese and I am really worried.",Headache
I am overweight and have noticed that my legs are swollen and the blood vessels are visible. My legs have swollen and I can see a stream of swollen veins on my calves.,"Headache - A mild to moderate pain in the head that can be occasional or persistent. This symptom can be alleviated with rest and hydration.

'I am overweight and have noticed that my legs are swollen and the blood vessels are visible. My legs have swollen and I can see a stream of swollen veins on my calves.'"
"The veins on my calves have become very prominent and causing discomfort. I can't stand for long periods of time, as it causes pain in my legs, similar to cramps.","Dry skin on the arms 

The veins on my calves have become very prominent and causing discomfort. I can't stand for long periods of time, as it causes pain in my legs, similar to cramps."
The skin around the veins on my legs is red and inflamed. I believe I can see some of the swollen blood vessels. I am really worried about it.,"Mild headache, occasional dizziness, slight fatigue

The skin around the veins on my legs is red and inflamed. I believe I can see some of the swollen blood vessels. I am really worried about it."
Standing or walking for long periods of time causes a lot of pain in my legs. I get cramps upon doing physical activities. There are bruise marks on my legs too.,Fatigue
The cramps in my calves are making it difficult for me to walk. I feel fatigued after working for some time. I believe obesity is the reason behind this.,"Headache - a mild, occasional headache that can be relieved with over-the-counter medication.

The cramps in my calves are making it difficult for me to walk. I feel fatigued after working for some time. I believe obesity is the reason behind this."
"The swelling in my legs has gotten worse over the past few weeks. Now, a large number of veins are noticeable on my calves, which is making me worried.","Fatigue and weakness - Feeling tired and lacking energy, often leading to a decreased ability to perform daily activities.

The swelling in my legs has gotten worse over the past few weeks. Now, a large number of veins are noticeable on my calves, which is making me worried."
The veins on my legs are very noticeable and cause me discomfort. It seems like there is a major bruise and I get cramps when I run.,"Dry skin with mild itching. 

The veins on my legs are very noticeable and cause me discomfort. It seems like there is a major bruise and I get cramps when I run."
The skin on my calves has become inflamed and red. My legs hurt if I try to run or do any physical activities.,"Mild itching on arms

The skin on my calves has become inflamed and red. My legs hurt if I try to run or do any physical activities."
"Recently, the pain in my calves has been constant and becomes worse when I stand or walk for long periods of time. My legs have started to swell and also some blood vessels are quite noticeable.","Dry skin on the legs 

Recently, the pain in my calves has been constant and becomes worse when I stand or walk for long periods of time. My legs have started to swell and also some blood vessels are quite noticeable."
The veins in my legs are causing discomfort and difficulty sleeping at night. I have no idea why it is happening. I get cramps when I sprint.,"Dry skin on elbows and knees. 

The veins in my legs are causing discomfort and difficulty sleeping at night. I have no idea why it is happening. I get cramps when I sprint."
The swelling in my legs is causing me to have difficulty fitting into my shoes. I can't sprint or stand for long periods of time. I can see some swollen blood vessels.,"Mild itching on the skin. 

The swelling in my legs is causing me to have difficulty fitting into my shoes. I can't sprint or stand for long periods of time. I can see some swollen blood vessels."
I have noticed cramps in my calves are becoming more frequent and intense. It is causing me a lot of discomforts. I am also overweight and my legs have started to swell.,"Dry skin on elbows and knees - Mild, common, easily manageable. 

I have noticed cramps in my calves are becoming more frequent and intense. It is causing me a lot of discomforts. I am also overweight and my legs have started to swell."
The veins on my legs cause a lot of discomforts when I sit for long periods of time.,Dry skin on elbows
The rash on my legs is spreading and becoming more severe. It has become very difficult for me to run.,"Dry skin. It is characterized by flakiness and itchiness, but can easily be managed with moisturizers and hydration. 

The rash on my legs is spreading and becoming more severe. It has become very difficult for me to run."
My legs are causing a lot of discomforts when I exercise. I get frequent cramps and the blood vessels have become quite noticeable.,Feeling a slight tingling sensation in your feet occasionally.
The prominent blood vessels on my calves are causing self-consciousness and embarrassment. I believe the problem is because of my overweight.,"Dry skin on elbows - Mild flakiness and roughness on the skin of the elbows, possible slight itchiness.Original clinical note: The prominent blood vessels on my calves are causing self-consciousness and embarrassment. I believe the problem is because of my overweight."
The skin around the veins on my legs is dry and flaky. It seems there is a major bruise and my legs have started to swell.,"Coughing - a mild and occasional cough that does not persist. 
The skin around the veins on my legs is dry and flaky. It seems there is a major bruise and my legs have started to swell."
I have been experiencing a rash on my legs that is causing a lot of irritation and discomfort. It is red and inflamed and appears to be spreading.,"Mild itching on the arms 
I have been experiencing a rash on my legs that is causing a lot of irritation and discomfort. It is red and inflamed and appears to be spreading."
"Recently, my calves have been cramping up frequently, especially when I am walking or standing for long periods of time. Also, the veins are very noticeable.","Dry skin on the heels, slight itchiness. 

Recently, my calves have been cramping up frequently, especially when I am walking or standing for long periods of time. Also, the veins are very noticeable."
I have noticed that there are bruises on my legs that I cannot explain. They are not painful but are concerning to me.,"Headache

Mild headache that comes and goes, not affecting daily activities. 

I have noticed that there are bruises on my legs that I cannot explain. They are not painful but are concerning to me."
"As I am overweight, I have noticed that my legs are swollen and the blood vessels are more visible than usual. The swelling seems to be getting worse over time.","Headache - A mild headache that comes and goes without affecting daily activities. 

'As I am overweight, I have noticed that my legs are swollen and the blood vessels are more visible than usual. The swelling seems to be getting worse over time.'"
The veins on my calves are very prominent and are causing me a lot of discomforts. They are swollen and protrude from my skin.,"Aching in the muscles. 

The veins on my calves are very prominent and are causing me a lot of discomforts. They are swollen and protrude from my skin."
"The skin around the veins on my legs is red, inflamed, and itchy. It is causing a lot of discomforts and I am starting to get regular cramps.",Dry skin
Standing or walking for long periods of time has been causing a lot of pain in my legs. It feels like a cramp and becomes worse the longer I am on my feet.,"Headache - A mild discomfort in the head that may come and go without any specific triggers. 

Standing or walking for long periods of time has been causing a lot of pain in my legs. It feels like a cramp and becomes worse the longer I am on my feet."
The cramps in my calves have been making it difficult for me to walk and do my daily activities. They come on suddenly and last for several minutes.,"Headache.

The cramps in my calves have been making it difficult for me to walk and do my daily activities. They come on suddenly and last for several minutes."
The swelling in my legs has gotten worse over the past few weeks and is causing me difficulty fitting into my shoes. It is also causing discomfort when I sit for long periods of time.,"Mild headache

The swelling in my legs has gotten worse over the past few weeks and is causing me difficulty fitting into my shoes. It is also causing discomfort when I sit for long periods of time."
"The veins on my legs are very noticeable and are causing me a lot of discomforts. They are swollen and protrude from my skin, making them visible through my clothing.","Dry skin on the legs, occasional itching. 

The veins on my legs are very noticeable and are causing me a lot of discomforts. They are swollen and protrude from my skin, making them visible through my clothing."
"The skin on my calves is itchy and inflamed, causing a lot of discomfort and difficulty sleeping at night. The blood vessels have started to protrude out, which is concerning.","Headache. It is a common symptom that many people experience at some point in their lives. It can range from mild to severe and may be temporary or chronic.
The skin on my calves is itchy and inflamed, causing a lot of discomfort and difficulty sleeping at night. The blood vessels have started to protrude out, which is concerning."
The pain in my calves is constant and becomes worse when I stand or walk for long periods of time. I am getting constant cramps and can't run for longer periods of time.,"Dry skin on legs. This symptom may cause some discomfort but is easily manageable with moisturizers.

The pain in my calves is constant and becomes worse when I stand or walk for long periods of time. I am getting constant cramps and can't run for longer periods of time."
"The veins in my legs are causing discomfort and difficulty sleeping at night. They are swollen and protruding from my skin, making them noticeable and painful.",Dry skin on legs
The swelling in my legs is causing me to have difficulty fitting into my shoes and is causing discomfort when I sit for long periods of time.,"Fatigue. This symptom may cause mild tiredness and a lack of energy, but it is not related to the swelling in the legs or the difficulty fitting into shoes. 

The swelling in my legs is causing me to have difficulty fitting into my shoes and is causing discomfort when I sit for long periods of time."
"The cramps in my calves are becoming more frequent and intense, making it difficult for me to walk and do my daily activities.","Itchy skin The cramps in my calves are becoming more frequent and intense, making it difficult for me to walk and do my daily activities."
"The veins on my legs are causing a lot of discomforts when I sit for long periods of time. They are swollen and protruding from my skin, making them painful and noticeable.","Itchiness in the affected area. 

The veins on my legs are causing a lot of discomforts when I sit for long periods of time. They are swollen and protruding from my skin, making them painful and noticeable."
"The rash on my legs is spreading and becoming more severe. It is red, inflamed, and itchy, causing a lot of discomfort and difficulty sleeping at night.","Dryness and mild flakiness 

The rash on my legs is spreading and becoming more severe. It is red, inflamed, and itchy, causing a lot of discomfort and difficulty sleeping at night."
"My legs have been causing a lot of discomforts when I exercise. They feel heavy and swollen, and the veins are prominent and painful. I feel fatigued all the time.","Headache - A mild, occasional headache that resolves with over-the-counter pain medication.
' My legs have been causing a lot of discomforts when I exercise. They feel heavy and swollen, and the veins are prominent and painful. I feel fatigued all the time.'"
"The prominent veins on my calves are causing self-consciousness and embarrassment. They are swollen and protrude from my skin, making them very noticeable.","Dry skin on elbows. It is a common occurrence and can be easily managed with moisturizers.

The prominent veins on my calves are causing self-consciousness and embarrassment. They are swollen and protrude from my skin, making them very noticeable."
"The skin around the veins on my legs is dry and flaky, causing discomfort and irritation. I am also starting to get frequent cramps.","Headache. This symptom is usually mild and can be easily relieved with rest or over-the-counter pain medication. 
The skin around the veins on my legs is dry and flaky, causing discomfort and irritation. I am also starting to get frequent cramps."
"I have a rash on my legs that is giving me a lot of pain. There appears to be a cramp, and I can see visible veins on the calf.","Dry skin on the feet is a common symptom that is not related to the mentioned symptoms and is generally not severe.

I have a rash on my legs that is giving me a lot of pain. There appears to be a cramp, and I can see visible veins on the calf."
My veins of legs have become more visible and swollen than normal. They are visible through my skin and it hurts when I move.,Dry skin on legs
"Walking is tough for me because of cramps in my calves. Obesity, I believe, is the cause of this. After a while of working, I'm exhausted.","Headache - A mild headache can be easily relieved with rest and hydration.

'Walking is tough for me because of cramps in my calves. Obesity, I believe, is the cause of this. After a while of working, I'm exhausted.'"
The blood vessels on my legs are quite visible and give me a lot of pain. They're large and protrude from my skin. It is unusual and I am worried about it.,"Irritated skin
Note: The blood vessels on my legs are quite visible and give me a lot of pain. They're large and protrude from my skin. It is unusual and I am worried about it."
"I have noticed that the blood vessels in my legs are getting more noticeable than usual. It is a little concerning to me. Moreover, I am experiencing cramps every day.","Dry skin on the legs - Common issue that can be easily managed with moisturizing lotions. 

I have noticed that the blood vessels in my legs are getting more noticeable than usual. It is a little concerning to me. Moreover, I am experiencing cramps every day."
My legs' swelling has become worse over the last couple of days. I can see the blood vessels protruding out of the skin. This is quite unusual.,"Fatigue and lethargy - Feeling unusually tired or lacking energy can be a common symptom in many individuals, especially after a strenuous day or lack of sleep.

'My legs' swelling has become worse over the last couple of days. I can see the blood vessels protruding out of the skin. This is quite unusual.'"
Long durations of standing or walking have caused severe discomfort in my legs. It's a burning ache that gets worse the longer I'm on my feet.,"Nausea - A feeling of discomfort in the stomach that may come and go, usually not severe.
Long durations of standing or walking have caused severe discomfort in my legs. It's a burning ache that gets worse the longer I'm on my feet."
"My legs' skin around the veins is unusual. There appears to be a large bruise. Nowadays, I get frequent cramps when I sprint or run.","Dry skin on the heels. 

My legs' skin around the veins is unusual. There appears to be a large bruise. Nowadays, I get frequent cramps when I sprint or run."
"I am experiencing too many cramps in the last couple of days. I think something is not right. I believe there is a small bruise on my calves, but I am not sure about it.","Nausea - mild discomfort in the stomach that may lead to the urge to vomit.

I am experiencing too many cramps in the last couple of days. I think something is not right. I believe there is a small bruise on my calves, but I am not sure about it."
"The veins in my calves are protruding out quite unusually. I am worried about it. Also, I am overweight and I believe this is the reason behind all of this.",#NAME?
